model,batch,ok,complete,durationMs,finishReason,parseOk,countries,expected,unknownRate,error
"gpt-oss-120b","01","true","true","5241","stop","true","4","4","42",""
"gpt-oss-120b","02","true","true","5689","stop","true","4","4","33",""
"gpt-oss-120b","03","true","true","4479","stop","true","4","4","8",""
"gpt-oss-120b","04","true","true","4884","stop","true","4","4","52",""
"gpt-oss-120b","05","true","true","5491","stop","true","4","4","38",""
"gpt-oss-120b","06","true","true","4687","stop","true","4","4","58",""
"gpt-oss-120b","07","true","true","3874","stop","true","4","4","42",""
"gpt-oss-120b","08","true","true","3883","stop","true","4","4","92",""
"gpt-oss-120b","09","true","true","4080","stop","true","4","4","100",""
"gpt-oss-120b","10","true","true","3681","stop","true","4","4","100",""
"gpt-oss-120b","11","true","true","6089","stop","true","4","4","65",""
"gpt-oss-120b","12","true","true","5486","stop","true","4","4","69",""
"gpt-oss-120b","13","true","true","4278","stop","true","4","4","58",""
"gpt-oss-120b","14","true","true","4280","stop","true","4","4","50",""
"gpt-oss-120b","15","true","true","4683","stop","true","4","4","75",""
"gpt-oss-120b","16","true","true","5718","stop","true","4","4","0",""
"preview/gemma-4-31B-it","01","true","true","7486","stop","true","4","4","33",""
"preview/gemma-4-31B-it","02","true","true","6685","stop","true","4","4","33",""
"preview/gemma-4-31B-it","03","true","true","6267","stop","true","4","4","25",""
"preview/gemma-4-31B-it","04","true","true","6486","stop","true","4","4","42",""
"preview/gemma-4-31B-it","05","true","true","7064","stop","true","4","4","50",""
"preview/gemma-4-31B-it","06","true","true","6277","stop","true","4","4","42",""
"preview/gemma-4-31B-it","07","true","true","8689","stop","true","4","4","42",""
"preview/gemma-4-31B-it","08","true","true","6521","stop","true","4","4","42",""
"preview/gemma-4-31B-it","09","true","true","7465","stop","true","4","4","33",""
"preview/gemma-4-31B-it","10","true","true","7480","stop","true","4","4","33",""
"preview/gemma-4-31B-it","11","true","true","6678","stop","true","4","4","56",""
"preview/gemma-4-31B-it","12","true","true","6479","stop","true","4","4","63",""
"preview/gemma-4-31B-it","13","true","true","6879","stop","true","4","4","71",""
"preview/gemma-4-31B-it","14","true","true","6281","stop","true","4","4","33",""
"preview/gemma-4-31B-it","15","true","true","6682","stop","true","4","4","42",""
"preview/gemma-4-31B-it","16","true","true","6477","stop","true","4","4","58",""
"preview/Qwen3.6-35B-A3B","01","true","true","25256","stop","true","4","4","25",""
"preview/Qwen3.6-35B-A3B","02","true","true","22454","stop","true","4","4","67",""
"preview/Qwen3.6-35B-A3B","03","true","true","21952","stop","true","4","4","100",""
"preview/Qwen3.6-35B-A3B","04","true","true","13778","stop","true","4","4","42",""
"preview/Qwen3.6-35B-A3B","05","true","true","24348","stop","true","4","4","48",""
"preview/Qwen3.6-35B-A3B","06","true","true","23699","stop","true","4","4","33",""
"preview/Qwen3.6-35B-A3B","07","true","true","19415","stop","true","4","4","75",""
"preview/Qwen3.6-35B-A3B","08","true","true","15219","stop","true","4","4","100",""
"preview/Qwen3.6-35B-A3B","09","true","true","16744","stop","true","4","4","100",""
"preview/Qwen3.6-35B-A3B","10","true","true","18995","stop","true","4","4","100",""
"preview/Qwen3.6-35B-A3B","11","true","true","12541","stop","true","4","4","100",""
"preview/Qwen3.6-35B-A3B","12","true","true","20546","stop","true","4","4","83",""
"preview/Qwen3.6-35B-A3B","13","true","true","19728","stop","true","4","4","0",""
"preview/Qwen3.6-35B-A3B","14","true","true","13611","stop","true","4","4","100",""
"preview/Qwen3.6-35B-A3B","15","true","true","11585","stop","true","4","4","100",""
"preview/Qwen3.6-35B-A3B","16","true","true","16060","stop","true","4","4","100",""
"preview/Kimi-K2.6","01","true","true","137102","stop","true","4","4","83",""
"preview/Kimi-K2.6","02","true","true","125328","stop","true","4","4","79",""
"preview/Kimi-K2.6","03","true","true","73373","stop","true","4","4","27",""
"preview/Kimi-K2.6","04","true","true","28205","stop","true","4","4","100",""
"preview/Kimi-K2.6","05","true","true","124696","stop","true","4","4","67",""
"preview/Kimi-K2.6","06","true","true","134346","stop","true","4","4","2",""
"preview/Kimi-K2.6","07","true","true","212132","stop","true","4","4","100",""
"preview/Kimi-K2.6","08","true","true","90643","stop","true","4","4","17",""
"preview/Kimi-K2.6","09","true","true","108821","stop","true","4","4","83",""
"preview/Kimi-K2.6","10","true","true","66013","stop","true","4","4","75",""
"preview/Kimi-K2.6","11","true","true","83615","stop","true","4","4","54",""
"preview/Kimi-K2.6","12","true","true","57817","stop","true","4","4","100",""
"preview/Kimi-K2.6","13","true","true","87121","stop","true","4","4","75",""
"preview/Kimi-K2.6","14","true","true","113432","stop","true","4","4","100",""
"preview/Kimi-K2.6","15","true","true","151342","stop","true","4","4","71",""
"preview/Kimi-K2.6","16","true","true","110338","stop","true","4","4","56",""
