model,batch,ok,durationMs,finishReason,parseOk,countries,expected,error
"gpt-oss-120b","01","true","8212","stop","true","6","6",""
"gpt-oss-120b","02","true","3856","stop","true","6","6",""
"gpt-oss-120b","03","true","6871","stop","true","6","6",""
"gpt-oss-120b","04","true","6665","stop","true","6","6",""
"gpt-oss-120b","05","true","10885","stop","true","6","6",""
"gpt-oss-120b","06","true","7705","stop","true","6","6",""
"gpt-oss-120b","07","true","8072","stop","true","6","6",""
"gpt-oss-120b","08","true","11144","stop","true","6","6",""
"gpt-oss-120b","09","true","6270","stop","true","6","6",""
"gpt-oss-120b","10","true","7671","stop","true","6","6",""
"gpt-oss-120b","11","true","11906","stop","true","6","6",""
"gpt-oss-120b","12","true","7477","stop","true","6","6",""
"gpt-oss-120b","13","true","7283","stop","true","6","6",""
"gpt-oss-120b","14","true","9593","stop","true","6","6",""
"gpt-oss-120b","15","true","7271","stop","true","6","6",""
"gpt-oss-120b","16","true","7684","stop","true","6","6",""
"gpt-oss-120b","17","true","6472","stop","true","6","6",""
"preview/gemma-4-31B-it","01","true","6238","stop","true","6","6",""
"preview/gemma-4-31B-it","02","true","4484","stop","true","6","6",""
"preview/gemma-4-31B-it","03","true","5660","stop","true","6","6",""
"preview/gemma-4-31B-it","04","true","4849","stop","true","6","6",""
"preview/gemma-4-31B-it","05","true","5661","stop","true","6","6",""
"preview/gemma-4-31B-it","06","true","5654","stop","true","6","6",""
"preview/gemma-4-31B-it","07","true","5049","stop","true","6","6",""
"preview/gemma-4-31B-it","08","true","7463","stop","true","6","6",""
"preview/gemma-4-31B-it","09","true","5658","stop","true","6","6",""
"preview/gemma-4-31B-it","10","true","4651","stop","true","6","6",""
"preview/gemma-4-31B-it","11","true","4648","stop","true","6","6",""
"preview/gemma-4-31B-it","12","true","5854","stop","true","6","6",""
"preview/gemma-4-31B-it","13","true","5251","stop","true","6","6",""
"preview/gemma-4-31B-it","14","true","5649","stop","true","6","6",""
"preview/gemma-4-31B-it","15","true","4454","stop","true","6","6",""
"preview/gemma-4-31B-it","16","true","6254","stop","true","6","6",""
"preview/gemma-4-31B-it","17","true","5056","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","01","true","21774","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","02","true","20236","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","03","true","24576","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","04","true","20491","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","05","true","30374","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","06","true","28489","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","07","true","22023","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","08","true","29783","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","09","true","20567","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","10","true","26232","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","11","true","22036","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","12","true","24325","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","13","true","20365","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","14","true","22247","stop","true","1","6",""
"preview/Qwen3.6-35B-A3B","15","true","17214","stop","true","2","6",""
"preview/Qwen3.6-35B-A3B","16","true","22617","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","17","true","40721","length","false","0","6",""
"preview/Kimi-K2.6","01","true","118691","stop","true","6","6",""
"preview/Kimi-K2.6","02","true","96780","stop","true","6","6",""
"preview/Kimi-K2.6","03","true","101039","stop","true","6","6",""
"preview/Kimi-K2.6","04","true","68359","stop","true","6","6",""
"preview/Kimi-K2.6","05","true","176905","stop","true","6","6",""
"preview/Kimi-K2.6","06","true","66349","stop","true","6","6",""
"preview/Kimi-K2.6","07","true","95464","stop","true","0","6",""
"preview/Kimi-K2.6","08","true","175795","stop","true","6","6",""
"preview/Kimi-K2.6","09","true","105801","stop","true","6","6",""
"preview/Kimi-K2.6","10","true","93605","stop","true","6","6",""
"preview/Kimi-K2.6","11","true","97281","stop","true","1","6",""
"preview/Kimi-K2.6","12","true","108883","stop","true","6","6",""
"preview/Kimi-K2.6","13","true","127283","stop","true","6","6",""
"preview/Kimi-K2.6","14","false","300649","","","","","HTTP 504"
"preview/Kimi-K2.6","15","true","77644","stop","true","1","6",""
"preview/Kimi-K2.6","16","true","54567","stop","true","6","6",""
"preview/Kimi-K2.6","17","true","166491","stop","true","6","6",""
"preview/Kimi-K2.6","14","true","122102","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","14","true","true","25246","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","15","true","true","16579","stop","true","6","6",""
"preview/Qwen3.6-35B-A3B","17","true","true","19614","stop","true","6","6",""
"preview/Kimi-K2.6","07","true","true","75997","stop","true","6","6",""
"preview/Kimi-K2.6","11","true","true","121455","stop","true","6","6",""
"preview/Kimi-K2.6","15","true","true","89603","stop","true","6","6",""
