model,slot,ok,durationMs,finishReason,parseOk,termCount,maxCountries,error
"gpt-oss-120b","traffic_side","true","13798","stop","true","5","96",""
"gpt-oss-120b","road_marking","true","17605","stop","true","11","94",""
"gpt-oss-120b","bollard","true","27971","stop","true","17","94",""
"gpt-oss-120b","pole","true","16672","stop","true","15","32",""
"gpt-oss-120b","sign","true","21343","stop","true","7","51",""
"gpt-oss-120b","script","true","37804","stop","true","52","70",""
"gpt-oss-120b","ground","true","10815","stop","true","10","95",""
"gpt-oss-120b","terrain_vegetation","true","30286","stop","true","22","96",""
"gpt-oss-120b","architecture","true","17367","stop","true","19","19",""
"gpt-oss-120b","vehicle","true","17565","stop","true","12","100",""
"gpt-oss-120b","pavement","true","16049","stop","true","12","38",""
"gpt-oss-120b","camera","true","22500","stop","true","11","101",""
"gpt-oss-120b","season","true","17624","stop","true","8","61",""
"preview/gemma-4-31B-it","traffic_side","true","174010","length","false","0","0",""
"preview/gemma-4-31B-it","road_marking","true","178150","length","false","0","0",""
"preview/gemma-4-31B-it","bollard","true","172401","length","false","0","0",""
"preview/gemma-4-31B-it","pole","true","23298","stop","true","7","96",""
"preview/gemma-4-31B-it","sign","true","28716","stop","true","10","99",""
"preview/gemma-4-31B-it","script","true","21953","stop","true","13","79",""
"preview/gemma-4-31B-it","ground","true","170313","length","false","0","0",""
"preview/gemma-4-31B-it","terrain_vegetation","true","32508","stop","true","13","69",""
"preview/gemma-4-31B-it","architecture","true","21533","stop","true","8","102",""
"preview/gemma-4-31B-it","vehicle","true","24930","stop","true","9","101",""
"preview/gemma-4-31B-it","pavement","true","174522","length","false","0","0",""
"preview/gemma-4-31B-it","camera","true","20909","stop","true","7","42",""
"preview/gemma-4-31B-it","season","true","173807","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","traffic_side","true","50296","stop","true","2","75",""
"preview/Qwen3.6-35B-A3B","road_marking","true","99967","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","bollard","true","59242","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","pole","true","58638","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","sign","true","87455","stop","true","8","93",""
"preview/Qwen3.6-35B-A3B","script","false","27075","","","","","fetch failed"
"preview/Qwen3.6-35B-A3B","ground","true","61901","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","terrain_vegetation","true","63694","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","architecture","true","85082","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","vehicle","true","64607","length","false","0","0",""
"preview/Qwen3.6-35B-A3B","pavement","true","38550","stop","true","7","102",""
"preview/Qwen3.6-35B-A3B","camera","true","31622","stop","true","3","102",""
"preview/Qwen3.6-35B-A3B","season","true","57047","stop","true","4","39",""
"preview/Qwen3-VL-30B-A3B-Instruct","traffic_side","true","35861","stop","true","20","102",""
"preview/Qwen3-VL-30B-A3B-Instruct","road_marking","true","101354","length","false","0","0",""
"preview/Qwen3-VL-30B-A3B-Instruct","bollard","true","102426","length","false","0","0",""
"preview/Qwen3-VL-30B-A3B-Instruct","pole","true","80236","stop","true","30","101",""
"preview/Qwen3-VL-30B-A3B-Instruct","sign","true","61347","stop","true","19","102",""
"preview/Qwen3-VL-30B-A3B-Instruct","script","true","106105","length","false","0","0",""
"preview/Qwen3-VL-30B-A3B-Instruct","ground","true","92444","stop","true","33","101",""
"preview/Qwen3-VL-30B-A3B-Instruct","terrain_vegetation","true","95674","stop","true","43","101",""
"preview/Qwen3-VL-30B-A3B-Instruct","architecture","true","93864","stop","true","34","91",""
"preview/Qwen3-VL-30B-A3B-Instruct","vehicle","true","102177","length","false","0","0",""
"preview/Qwen3-VL-30B-A3B-Instruct","pavement","true","109228","length","false","0","0",""
"preview/Qwen3-VL-30B-A3B-Instruct","camera","true","88628","stop","true","46","102",""
"preview/Qwen3-VL-30B-A3B-Instruct","season","true","101415","length","false","0","0",""
