ts,model,trial,ok,durationMs,promptTokens,completionTokens,finishReason,error
"2026-08-07T00:48:16.367Z","gpt-oss-120b","1","true","26992","359","6177","stop",""
"2026-08-07T00:48:40.643Z","gpt-oss-120b","2","true","22255","359","5341","stop",""
"2026-08-07T00:49:09.278Z","gpt-oss-120b","3","true","26625","359","6559","stop",""
"2026-08-07T00:51:03.241Z","preview/Kimi-K2.6","1","true","111955","319","8000","length",""
"2026-08-07T00:52:34.103Z","preview/Kimi-K2.6","2","true","88857","319","8000","length",""
"2026-08-07T00:54:25.637Z","preview/Kimi-K2.6","3","true","109527","319","8000","length",""
"2026-08-07T00:54:45.547Z","preview/gemma-4-31B-it","1","true","17901","259","1273","stop",""
"2026-08-07T00:55:04.068Z","preview/gemma-4-31B-it","2","true","16505","259","1175","stop",""
"2026-08-07T00:55:25.209Z","preview/gemma-4-31B-it","3","true","19118","259","1364","stop",""
"2026-08-07T00:55:27.762Z","llm-jp-3.1-8x13b-instruct4","1","false","463","","","","HTTP 400: {""error"":{""message"":""'max_tokens' or 'max_completion_tokens' is too large: 8000. This model's maximum context length is 4096 tokens and your request has 233 input tokens (8000 > 4096 - 233). None"",""type"":""BadRequestError"",""param"":null,""code"":400},""model"":""llm-jp-3.1-8x13b-instruct4""}"
"2026-08-07T00:55:30.205Z","llm-jp-3.1-8x13b-instruct4","2","false","438","","","","HTTP 400: {""error"":{""message"":""'max_tokens' or 'max_completion_tokens' is too large: 8000. This model's maximum context length is 4096 tokens and your request has 233 input tokens (8000 > 4096 - 233). None"",""type"":""BadRequestError"",""param"":null,""code"":400},""model"":""llm-jp-3.1-8x13b-instruct4""}"
"2026-08-07T00:55:32.656Z","llm-jp-3.1-8x13b-instruct4","3","false","439","","","","HTTP 400: {""error"":{""message"":""'max_tokens' or 'max_completion_tokens' is too large: 8000. This model's maximum context length is 4096 tokens and your request has 233 input tokens (8000 > 4096 - 233). None"",""type"":""BadRequestError"",""param"":null,""code"":400},""model"":""llm-jp-3.1-8x13b-instruct4""}"
"2026-08-07T00:56:12.627Z","preview/Qwen3-0.6B-cpu","1","true","37960","276","831","stop",""
"2026-08-07T00:56:59.735Z","preview/Qwen3-0.6B-cpu","2","true","45103","276","1041","stop",""
"2026-08-07T00:57:40.713Z","preview/Qwen3-0.6B-cpu","3","true","38968","276","903","stop",""
"2026-08-07T01:13:34.268Z","preview/Kimi-K2.6","1","true","91991","319","6331","stop",""
"2026-08-07T01:15:18.016Z","preview/Kimi-K2.6","2","true","101735","319","7847","stop",""
"2026-08-07T01:17:53.446Z","preview/Kimi-K2.6","3","true","153417","319","7985","stop",""
"2026-08-07T01:17:59.144Z","llm-jp-3.1-8x13b-instruct4","1","true","3688","233","443","stop",""
"2026-08-07T01:18:06.631Z","llm-jp-3.1-8x13b-instruct4","2","true","5474","233","659","stop",""
"2026-08-07T01:18:13.902Z","llm-jp-3.1-8x13b-instruct4","3","true","5261","233","630","stop",""
